Box_No,New_Product_Name,Description,Colour,Size_2,Size_4,Size_6,Size_8,Size_10,Size_12,Size_14,Row_Total,Category,Recalc_Flag
53.0,Oliver,Gary Long PJ,Black Check ,0,22,21,0,0,0,0,43,Sleep/Lounge (Unisex),Used Qty
42.0,Henry,Boys PJ`s ,Yellow Check with Blue Lines,3,0,0,0,10,0,0,13,Sleep/Lounge (Unisex),Used Qty
42.0,Lucas,Boys Top & Long Pants PJ`s ( short sleeve and long pants ),Yellow,5,0,7,0,0,0,0,12,Sleep/Lounge (Unisex),Used Qty
42.0,Lucas,Boys Top & Long Pants PJ`s ( short sleeve and long pants ),Light Yellow,0,2,0,0,3,2,0,7,Sleep/Lounge (Unisex),Used Qty
42.0,Ethan,Boys Top & Long Pants PJ`s,Stripped Brown/White,4,0,0,0,2,0,0,6,Sleep/Lounge (Unisex),Used Qty
42.0,Thomas,Boys PJ Shorts & Top S/S,Grey shirt blue shorts,5,2,0,1,4,1,0,13,Sleep/Lounge (Unisex),Used Qty
40.0,Noah,Boys Shorty PJ,Light Grey Stripe/aqua,3,1,2,3,1,2,0,12,Sleep/Lounge (Unisex),Used Qty
40.0,Noah,Boys Shorty PJ,Turquise Stripe,4,1,1,3,1,2,0,12,Sleep/Lounge (Unisex),Used Qty
40.0,Noah,Boys PJ Shorty,Green Top / Navy Shorts,3,0,0,0,3,1,0,7,Sleep/Lounge (Unisex),Used Qty
40.0,Grayson,Boys Shorty PJ,Grey Top / Grey Pants,4,0,0,0,2,1,0,7,Sleep/Lounge (Unisex),Used Qty
40.0,Thomas,Boys Shorty PJ,Grey Top / Green Pants,0,0,0,0,0,7,0,7,Sleep/Lounge (Unisex),Used Qty
42.0,Thomas,Boys PJ shorts only ,Stripped white/blue,5,9,4,7,6,0,0,31,Sleep/Lounge (Unisex),Used Qty
39.0,Maisie,Baby Top & Pants Set  ( 8 x 6-12mth ) (20 x 12-18mth ),Pink ,8,20,0,0,0,0,0,28,Children's,Used Qty
50.0,Olivia,Girls Long PJ`s ,Candy Pink,0,0,0,0,0,8,0,8,Sleep/Lounge (Unisex),Used Qty
50.0,Olivia,Girls Long PJ`s ,Light Blue,0,4,5,0,0,8,0,17,Sleep/Lounge (Unisex),Used Qty
52.0,Aria,Ladies Long PJ`s ,Candy Pink,11,8,0,0,0,0,0,19,Ladies',Used Qty
52.0,Aria,Ladies Long PJ`s ,Light Blue,11,2,0,0,0,0,0,13,Ladies',Used Qty
51.0,Layla,Ladies Shorty PJ -&  Sleeveless Top,Floral ,20,19,1,0,0,0,0,40,Ladies',Used Qty
50.0,Layla,Ladies Short Nighty - Sleevless,Floral Yellow ,16,9,0,0,0,0,0,25,Ladies',Used Qty
51.0,Sophia,Womens Shirt L/S,Off White,0,0,0,14,0,0,0,14,Ladies',Used Qty
51.0,Sophia,Womens Shirt L/S,Blue,0,0,0,16,0,0,0,16,Ladies',Used Qty
30.0,Summer,Ladies Dressing Gown - Summer,Lilac,6,0,0,0,0,0,0,6,Ladies',Used Qty
30.0,Summer,Ladies Dressing Gown - Summer,Lemon,3,10,0,0,0,0,0,13,Ladies',Used Qty
48.0,Summer,Ladies Dressing Gown & Nighty,Blue,12,1,0,0,0,0,0,13,Ladies',Used Qty
48.0,Summer,Ladies Dressing Gown & Nighty,Lilac,6,0,0,0,0,0,0,6,Ladies',Used Qty
48.0,Summer,Ladies Dressing Gown & Nighty,Lemon,24,0,0,0,0,0,0,24,Ladies',Used Qty
39.0,Willow,Girls Gown - ,Blue floral,1,2,0,0,0,0,0,3,Sleep/Lounge (Unisex),Used Qty
10.0,Maya,Maya Gown ,Leopard ,21,0,0,0,0,0,0,21,Sleep/Lounge (Unisex),Used Qty
