Item_Name,Category,Descriptions_Seen,Colours_Available,Size2,Size4,Size6,Size8,Size10,Size12,Size14,Qty,RRP,Wholesale_Each,QuickSale_Each,Has_Image,Image_File
Aria,Children's Pajamas,Ladies Long PJ`s,Candy Pink; Light Blue,22,10,0,0,0,0,0,32,152.88,38.22,27.52,yes,image22_small.jpg
Ava,Shirt/Top,Girls Singlet Top,Green; Green Top / Yellow Pants; Yellow,8,11,15,7,0,2,0,43,67.62,16.91,12.17,yes,image4_small.jpg
Candy,Raincoat,Rain Coat & Hat,Pink,6,8,8,14,15,9,0,60,133.77,33.44,24.08,yes,image31_small.jpg
Charlotte,Girls Nightdress S/S,Girls Nighty S/S - 1 Bow,Blue; Green; Light Blue; Pink,18,6,5,0,0,0,0,29,120.54,30.14,21.7,yes,image14_small.jpg
Cora,Shirt/Top,Girls Top - Sleeveless & Shorts - 1 Flower,1 Flower - Blue; Blue; Light Blue; Pink,14,12,23,8,7,4,0,68,111.72,27.93,20.11,yes,image2_small.jpg
Eliana,Children's Pajamas,Girls Shorty PJ - 1 Flower,Lemon with Flowers; Pink and cream floral,24,14,12,2,0,0,0,52,67.62,16.91,12.17,yes,image15_small.jpg
Ella,Children's Nightwear,Princess Gown,Light Grey (Suzie); Pink; Pink (Suzie),81,121,84,90,35,41,0,452,219.03,54.76,39.43,yes,image1_small.jpg
Fireman,Raincoat,Rain Coat & Hat,Yellow,3,0,0,0,0,0,0,3,133.77,33.44,24.08,yes,image30_small.jpg
Grace,Girls Nightdress S/S,Girls Nighty L/S - with 1 Bow,Off White - organic; Pink,17,7,6,0,0,1,0,31,120.54,30.14,21.7,yes,image8_small.jpg
Harper,Uncategorized,Girls Shorts & Vest,Green top; Lemon top & pants,5,3,9,9,7,3,0,36,120.54,30.14,21.7,yes,image5_small.jpg
Isabella,Girls Nightdress S/S,Girls Night Dress - with collar,Blue Check; Pink Check,21,6,1,0,4,17,0,49,120.54,30.14,21.7,yes,image9_small.jpg
